working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][0/9357]	eta 11:50:01 lr 0.000000000	time 4.5529 (4.5529)	tot_loss 0.1733 (0.1733)	mem 3757MB
Train: [0/300][50/9357]	eta 1:13:23 lr 0.000000002	time 0.3596 (0.4731)	tot_loss 0.2572 (0.6556)	mem 6724MB
Train: [0/300][100/9357]	eta 1:06:32 lr 0.000000004	time 0.4601 (0.4313)	tot_loss 0.1646 (0.6386)	mem 6725MB
Train: [0/300][150/9357]	eta 1:04:28 lr 0.000000006	time 0.3797 (0.4202)	tot_loss 0.3883 (0.6057)	mem 6725MB
Train: [0/300][200/9357]	eta 1:03:02 lr 0.000000009	time 0.3804 (0.4131)	tot_loss 0.1985 (0.5999)	mem 6725MB
Train: [0/300][250/9357]	eta 1:02:33 lr 0.000000011	time 0.4430 (0.4122)	tot_loss 0.8845 (0.6081)	mem 6725MB
Train: [0/300][300/9357]	eta 1:01:33 lr 0.000000013	time 0.3908 (0.4078)	tot_loss 1.0445 (0.6165)	mem 6725MB
Train: [0/300][350/9357]	eta 1:00:56 lr 0.000000015	time 0.3687 (0.4060)	tot_loss 0.4345 (0.6026)	mem 6725MB
Train: [0/300][400/9357]	eta 1:00:19 lr 0.000000017	time 0.3894 (0.4040)	tot_loss 0.2234 (0.6069)	mem 6725MB
Train: [0/300][450/9357]	eta 0:59:59 lr 0.000000019	time 0.3863 (0.4041)	tot_loss 0.6103 (0.6052)	mem 6727MB
Train: [0/300][500/9357]	eta 0:59:20 lr 0.000000021	time 0.3644 (0.4019)	tot_loss 0.3363 (0.6057)	mem 6727MB
Train: [0/300][550/9357]	eta 0:58:50 lr 0.000000023	time 0.3490 (0.4009)	tot_loss 0.6578 (0.6041)	mem 6727MB
Train: [0/300][600/9357]	eta 0:58:10 lr 0.000000026	time 0.3631 (0.3986)	tot_loss 0.4454 (0.6000)	mem 6727MB
Train: [0/300][650/9357]	eta 0:57:44 lr 0.000000028	time 0.3555 (0.3979)	tot_loss 0.6059 (0.6008)	mem 6727MB
Train: [0/300][700/9357]	eta 0:57:05 lr 0.000000030	time 0.3813 (0.3957)	tot_loss 0.5952 (0.5973)	mem 6727MB
Train: [0/300][750/9357]	eta 0:56:42 lr 0.000000032	time 0.3886 (0.3953)	tot_loss 0.1869 (0.5925)	mem 6727MB
Train: [0/300][800/9357]	eta 0:56:05 lr 0.000000034	time 0.3795 (0.3933)	tot_loss 0.5389 (0.5892)	mem 6727MB
